OTU,percentage_identity,isolate
Bradyrhizobium_2333,,no_isolate
Bradyrhizobium_2337,,no_isolate
Bradyrhizobium_2347,,no_isolate
Xanthobacteraceae_2350,,no_isolate
Xanthobacter_2352,,no_isolate
Beijerinckiaceae_2361,,no_isolate
Methylobacterium_2364,,no_isolate
Methylobacterium_2368,,no_isolate
Microvirga_2369,,no_isolate
Microvirga_2370,,no_isolate
Microvirga_2374,,no_isolate
Brevundimonas_2386,,no_isolate
Caulobacteraceae_2396,,no_isolate
Phenylobacterium_2400,,no_isolate
Caulobacter_2408,,no_isolate
Mesorhizobium_2417,,no_isolate
Mesorhizobium_2418,,no_isolate
Ochrobactrum_2425,,no_isolate
Ochrobactrum_2426,,no_isolate
Ochrobactrum_2434,,no_isolate
Ochrobactrum_2449,,no_isolate
Rhizobiaceae_2465,,no_isolate
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium_2467,,no_isolate
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium_2470,,no_isolate
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium_2473,,no_isolate
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium_2476,,no_isolate
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium_2478,,no_isolate
Mesorhizobium_2479,,no_isolate
Pedomicrobium_2492,,no_isolate
Pedomicrobium_2498,,no_isolate
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium_2506,,no_isolate
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium_2508,,no_isolate
Rhizobiaceae_2513,,no_isolate
Phyllobacterium_2523,,no_isolate
Stappiaceae_2524,,no_isolate
Paracoccus_2529,,no_isolate
Paracoccus_2531,,no_isolate
Paracoccus_2532,,no_isolate
Paracoccus_2535,,no_isolate
Paracoccus_2536,,no_isolate
Paracoccus_2537,,no_isolate
Paracoccus_2538,,no_isolate
Paracoccus_2542,,no_isolate
Rubellimicrobium_2545,,no_isolate
Rhodobacteraceae_2550,,no_isolate
Rubellimicrobium_2552,,no_isolate
Rhodobacteraceae_2562,,no_isolate
Rhodobacter_2563,,no_isolate
Rhodobacteraceae_2564,,no_isolate
Paracoccus_2566,,no_isolate
Paracoccus_2567,,no_isolate
Rhodobacteraceae_2570,,no_isolate
Rubellimicrobium_2572,,no_isolate
Mesorhizobium_2580,,no_isolate
Mesorhizobium_2582,,no_isolate
Akkermansia_2744,,no_isolate
Akkermansia_2746,,no_isolate
Akkermansia_2750,,no_isolate
Schlesneria_2775,,no_isolate
Fimbriiglobus_2782,,no_isolate
Olsenella_2837,,no_isolate
Olsenella_2842,,no_isolate
Olsenella_2843,,no_isolate
Olsenella_2853,,no_isolate
Atopobium_2856,,no_isolate
Collinsella_2868,,no_isolate
Collinsella_2869,,no_isolate
Eggerthellaceae_2874,,no_isolate
Eggerthellaceae_2884,,no_isolate
Eggerthellaceae_2885,,no_isolate
Eggerthellaceae_2887,,no_isolate
Eggerthellaceae_2888,,no_isolate
Enterorhabdus_2893,,no_isolate
Senegalimassilia_2897,,no_isolate
Slackia_2900,,no_isolate
Olsenella_2913,,no_isolate
Thermus_2929,,no_isolate
Chloroflexaceae_2931,,no_isolate
Deinococcus_2955,,no_isolate
Deinococcus_2957,,no_isolate
Deinococcus_2971,,no_isolate
Deinococcus_2973,,no_isolate
Deinococcus_2977,,no_isolate
Ruminococcaceae_2992,,no_isolate
Mycoplasma_3076,,no_isolate
Mycoplasma_3077,,no_isolate
Mycoplasma_3080,,no_isolate
Mycoplasma_3082,,no_isolate
Mycoplasma_3086,,no_isolate
Candidatus_Saccharimonas_3142,,no_isolate
Saccharimonadaceae_3154,,no_isolate
Saccharimonadaceae_3155,,no_isolate
Saccharimonadaceae_3156,,no_isolate
Saccharimonadaceae_3158,,no_isolate
Saccharimonadaceae_3159,,no_isolate
Saccharimonadaceae_3162,,no_isolate
Saccharimonadaceae_3166,,no_isolate
Saccharimonadaceae_3167,,no_isolate
Saccharimonadaceae_3168,,no_isolate
Candidatus_Saccharimonas_3171,,no_isolate
Candidatus_Saccharimonas_3172,,no_isolate
