representative_ko,identical_to
K00219,K00508|K01264|K03731|K03805|K06049|K06720|K08224|K09020|K10187|K12228|K13570|K13664|K16918|K17755|K18701|K19047|K19742|K21990|K22316
K00223,K21310
K00239,K00240
K00242,K06916
K00263,K07800|K13731|K20431
K00281,K00282
K00313,K03855
K00324,K00325
K00329,K00356
K00330,K00331|K00333|K00337|K00338|K00339|K00342|K00343|K01950
K00332,K00334|K00335|K03943
K00346,K00348|K00349|K00350|K00351|K16087
K00347,K06076
K00367,K03761
K00370,K00371|K00373|K00374|K17052
K00376,K07218|K19340|K19342
K00384,K01802|K03648|K04763|K06131|K08724|K12552|K12556
K00385,K03287|K03653|K06936|K08077|K08682|K09778|K11066|K12688|K12945|K15331|K16950|K16951|K18014|K18481
K00406,K00412|K02635|K02637
K00425,K00426
K00427,K06145
K00435,K00933|K00934|K03638|K19405|K19411|K20201
K00436,K01050|K01401|K02352|K04748|K04940|K06607|K07145|K07696|K08255|K09814|K10851|K11442|K11535|K11625|K12210|K16323|K18906|K18934|K18935|K19083|K19351|K20337|K20708|K21272|K21463
K00442,K02441|K03837|K07285|K07783|K08315|K12136|K12137|K12138|K12139|K12140|K12141|K12142|K12144|K12145|K12279|K12285|K12685|K14055|K15828|K15830|K15831|K15832|K15834|K18008|K20011|K22015
K00448,K00449|K00481
K00477,K00575|K00830|K02391|K02392|K02398|K02399|K02404|K02415|K02423|K02458|K02688|K03227|K03408|K03411|K03415|K05815|K05816|K05874|K06415|K06603|K06917|K07127|K07140|K07180|K07777|K09786|K10255|K13483|K15558|K16052|K16841|K20034
K00493,K02387|K02388|K02389|K02390|K02396|K02397|K02400|K02408|K02411|K02412|K02413|K02416|K02418|K02419|K02420|K02421|K02422|K02556|K03223|K03224|K03226|K03228|K03229|K04061|K10680|K10979|K15629
K00526,K00820
K00529,K01659|K03417|K14267
K00537,K02456|K04083|K07574
K00564,K00872
K00570,K05386|K13327
K00595,K02188|K02189|K02224|K03394|K05895|K05936
K00602,K00762|K00764|K01591|K01923|K01933|K01945|K01952|K02823|K17828
K00608,K00609
K00612,K05364|K11263|K12510
K00613,K04794|K07065|K17316|K17317|K18674|K20370|K21961
K00631,K00885|K01002|K01141|K01166|K01573|K01716|K02193|K02194|K02195|K02196|K02197|K02344|K02380|K02504|K02505|K02521|K02567|K02568|K02569|K02570|K02572|K02573|K02680|K02681|K02742|K03113|K03214|K03314|K03459|K03532|K03580|K03591|K03603|K03607|K03632|K03633|K03645|K03674|K03683|K03721|K03732|K03764|K03804|K04013|K04014|K04015|K04067|K04568|K04753|K04774|K05787|K05803|K05835|K05851|K05939|K06039|K06176|K06205|K06866|K06918|K06957|K06968|K07109|K07121|K07153|K07186|K07235|K07236|K07237|K07261|K07268|K07269|K07286|K07674|K07685|K07751|K08312|K08348|K08349|K08350|K08358|K08693|K08990|K09160|K09891|K09893|K09894|K09895|K09896|K09897|K09898|K09899|K09901|K09902|K09904|K09906|K09907|K09909|K09910|K09911|K09917|K09996|K09997|K09998|K09999|K10000|K11179|K11211|K11258|K11605|K11606|K11685|K12368|K12370|K12371|K15763|K16294|K16915|K18286|K19226|K19228|K19229|K19334|K19431|K19810|K20973|K22104|K22105|K22361
K00643,K01233|K01590|K04781|K04783|K04788|K22330
K00645,K00648
K00656,K04069
K00684,K05784
K00687,K03471|K12553
K00697,K14160
K00713,K01908|K03897|K07644|K08997|K19743|K21420
K00728,K00886|K03727|K05522|K07442|K07503|K07654|K07768|K09009|K09016|K12503|K18955|K19710
K00748,K00979|K01627|K02535|K02536|K02843|K03559|K03585|K06861|K07091|K11720
K00760,K00951|K01892|K03086|K03723|K03798
K00763,K03437|K03742|K07102|K12132
K00765,K01089|K01496|K01523|K01693|K02500|K15509
K00769,K07101
K00782,K18929
K00793,K00794
K00796,K01495|K01633|K13940
K00801,K10208
K00835,K00840|K02665|K02667|K02670|K02674|K02676|K03747|K05306|K05594|K07215|K07650|K08082|K08085|K08324|K09943|K11073|K11074|K11075|K13015|K13772|K14414|K15974|K16028|K16088|K18077|K18129|K19339|K19696
K00841,K10907
K00850,K03629|K05592
K00853,K00972
K00856,K01708|K16846
K00860,K06023
K00869,K00938|K01597|K01641|K16190
K00882,K16370
K00887,K01926
K00895,K05576
K00897,K19299
K00901,K01961
K00943,K00963|K02028|K02029|K02071|K02072|K02073|K02654|K03060|K03699|K03976|K04042|K04487
K00970,K07040
K00971,K16011
K00990,K02841|K21344
K00998,K02198|K02200|K02574|K03385|K03548|K04016|K04017|K04018|K12526|K15257
K00999,K21401
K01031,K01032|K02624
K01034,K01035
K01039,K01040|K02481|K03796|K04032|K04112|K04114|K06143|K06714|K10925|K13020|K14056|K16216|K18011|K19076|K19707|K20903|K20904|K22222
K01042,K09900
K01067,K18118
K01069,K02503|K09748|K22391
K01075,K17218
K01147,K02427|K02471|K02494|K02498|K02507|K02533|K03089|K03554|K03557|K03568|K03576|K03586|K03592|K03599|K03600|K03643|K03745|K03806|K03808|K03841|K04044|K04760|K05527|K05590|K06186|K06190|K06192|K06202|K07115|K07122|K07262|K07323|K07390|K08304|K08305|K09158|K09159|K09801|K09862|K09889|K09985|K12943|K14159|K15396|K15461|K18138|K19054|K19416|K20712|K22073
K01159,K02527|K07391
K01161,K09908
K01167,K05275|K05603|K07749|K09709|K11732|K11734|K11890|K12339|K14451|K18702
K01205,K05304|K08191|K08961|K11333|K16212|K18650|K21055|K21063|K21279|K21750|K22026
K01216,K08088
K01232,K02598|K03567|K09942
K01252,K02363|K02364|K04786|K11434|K13669|K15525|K18788|K20261|K20421|K21886|K22336
K01270,K15460
K01281,K08776|K11922|K20073|K21977
K01299,K03716|K06998|K07097|K16953
K01387,K03614
K01399,K08604
K01400,K01442|K11476|K14731|K19223|K21685
K01407,K01408|K03477|K07226|K07648|K13283|K15536|K15600
K01419,K03667
K01424,K01752|K02237|K02824
K01428,K01429|K01430|K03187|K03188|K03189|K03190|K14048
K01444,K03490|K06952
K01450,K02240|K02243|K02244|K02245|K03048|K03346|K03693|K03706|K04074|K06399|K07652|K12551|K18692|K20707
K01457,K06351
K01463,K16044
K01481,K05714|K08930|K09799|K10222|K10623|K16050|K18092|K21834
K01525,K06313|K13634
K01539,K07701
K01541,K12950
K01546,K01547|K01548
K01582,K02443
K01615,K09949
K01624,K02313|K02342|K03466|K09710
K01635,K01671
K01643,K01646
K01644,K18292
K01661,K01911|K02549|K02551
K01665,K02619
K01692,K05605
K01699,K06121|K13919|K13920
K01712,K01745
K01719,K01749|K13542
K01734,K04565
K01735,K01736|K13829
K01755,K01940
K01756,K08998
K01771,K06934|K07784|K11032|K11038|K11040|K12660|K13715|K14193|K14200|K14204|K16936|K18908|K18909|K19242|K21365|K21591
K01777,K10793|K10795
K01804,K01805
K01816,K21948|K22025|K22130|K22131
K01820,K10560|K10561|K10562
K01843,K01844|K03613|K03803|K08970|K09802|K10540
K01846,K19268
K01847,K14447|K17489
K01878,K01879|K14164
K01902,K01903|K03644
K01905,K22224
K01909,K03658|K06157|K09931|K16321|K19465
K01910,K05964|K05966|K13927|K13930
K01920,K03610
K01962,K01963
K01989,K05832|K05833
K01995,K01996|K01997|K01998
K02003,K02004
K02015,K02016
K02036,K02038
K02042,K02044|K06162
K02046,K02047|K02048
K02053,K02054|K02055
K02086,K07476|K07681|K07694|K11618|K11622|K16511|K21465
K02096,K02286|K02290|K02630|K05379|K05380
K02109,K02113
K02118,K02119|K02120|K02121|K02122|K02123|K02124
K02171,K02547|K19209|K19213|K21276|K22335|K22352
K02173,K08256|K09138|K11533|K12994|K15760|K17810|K18223|K18479|K18566|K22311
K02190,K02191|K03399
K02205,K16236
K02227,K02232|K02233
K02257,K02274
K02276,K03889|K14998
K02279,K16146|K17315
K02289,K05351|K05841|K20386|K20470
K02297,K02299|K02826|K02827
K02347,K03893|K04477|K22136
K02359,K11740|K19003
K02362,K12092|K12242|K19335|K21159|K22463
K02379,K03753
K02401,K13820
K02409,K02410
K02426,K03718
K02430,K15599
K02433,K02435
K02446,K11532
K02464,K02638|K03675|K07797|K11107|K19611
K02466,K02781|K02782|K02783
K02468,K15635
K02475,K11615
K02478,K07704
K02480,K07675
K02486,K19967|K20757
K02499,K04765
K02508,K19004
K02523,K03495|K03555|K03630|K03650|K03978|K07568
K02558,K16509
K02664,K02673|K03809|K06132
K02666,K03272|K03273
K02668,K02671|K08083|K22042
K02679,K03788|K13695
K02745,K02746
K02749,K02750
K02755,K02756|K02757
K02768,K02769|K02770
K02787,K02788
K02790,K02791
K02793,K02794
K02799,K02800
K02803,K02804
K02805,K06120|K06122|K07678
K02809,K02810
K02818,K02819
K02822,K03475
K02837,K02970|K09698
K02854,K07746|K14658|K21183
K02858,K14652
K02859,K13444|K17240
K02897,K03564
K02914,K06177
K03072,K03074
K03116,K03118
K03150,K07739|K09729|K11530
K03194,K03198
K03195,K03199|K03203
K03274,K03676
K03275,K03279
K03289,K11537
K03290,K08178
K03298,K13665
K03309,K11102
K03326,K03756|K04651|K04653|K04654|K04655|K04656|K06281|K06282|K08722
K03328,K18672
K03336,K03337|K03338
K03339,K10830|K11706
K03395,K07450
K03425,K08952|K08953|K08954
K03483,K05985|K09787|K15986
K03489,K08252
K03518,K03519|K07302|K17063
K03529,K05896|K06024
K03533,K07811|K16702
K03563,K07149|K13967
K03566,K04762
K03579,K07736
K03618,K03717|K06140|K18302|K18303
K03635,K21142
K03637,K03750
K03673,K07019|K10806
K03739,K03740|K14188
K03760,K19353
K03775,K04764
K03777,K09929|K09930
K03834,K03835|K05952|K06175|K08159|K09794|K09890|K11929|K18218
K03863,K19551|K21440
K03887,K03890|K03891|K15878|K15879
K03930,K07707|K08326
K03970,K22114
K04019,K04030
K04023,K04026
K04028,K04029|K04031
K04068,K16193
K04100,K15777
K04103,K21431
K04718,K10672
K04751,K04752
K04754,K14058
K04766,K10209|K10210|K10211|K10212|K14192|K14201|K14333|K18936|K21453|K21461|K21935
K04767,K17364
K04835,K15354|K15915
K05301,K08738
K05340,K06216
K05346,K16237|K17244|K17246
K05352,K21680
K05368,K12976|K13589|K20035|K21303
K05515,K16363
K05524,K22305
K05539,K07278
K05559,K05560|K05565|K05567|K05568|K05570
K05579,K21273
K05591,K09607|K10742|K22432
K05596,K22297
K05775,K08714|K10108|K12248|K19166
K05777,K09859
K05791,K13791|K13926|K15353
K05845,K05846
K05878,K05879
K06074,K21480
K06142,K11719
K06203,K18351
K06212,K21993
K06286,K07158
K06346,K06960
K06373,K06374
K06381,K11708|K11709
K06409,K06967|K07570|K07571|K09685
K06605,K11611
K06878,K19002
K06879,K09457
K06881,K12585
K06906,K06907|K06908
K06945,K07131
K06948,K08602|K11144
K06950,K16899
K07015,K12952
K07028,K10843|K13019
K07033,K09013|K09014|K09015
K07062,K07161
K07108,K16247
K07125,K14940|K18310
K07221,K09516|K11054|K14669|K18687
K07222,K14274
K07257,K16845
K07265,K09979
K07280,K08092|K12217|K16649|K21217|K21393
K07444,K12297
K07453,K19789
K07480,K07489|K21430
K07643,K10559|K11055|K12582|K16555|K16564|K19956|K20810
K07653,K08296
K07684,K09781
K07699,K08087|K13059|K18785
K07713,K15474|K16557|K16558|K20955
K07791,K07792
K07812,K08351|K09803|K22349
K08151,K11957
K08221,K10240|K10241|K10242|K19265
K08253,K10005|K10006|K10007|K16870
K08313,K08314
K08321,K10555|K10556|K10557|K10558|K11531
K08483,K11189
K09002,K19138|K19139
K09011,K09835|K21830|K22111
K09118,K15842
K09124,K20993
K09134,K21153|K22205
K09688,K10107|K12983
K09749,K22345
K09772,K11528
K09811,K09812
K09818,K11601|K11604|K19975
K09921,K18534|K19620
K09956,K11783
K10094,K12982
K10117,K10119
K10200,K10202
K10215,K18215
K10216,K15756
K10232,K14698|K21919
K10545,K10546|K10547|K10548
K10563,K16264
K10670,K10671|K21576|K21577|K22489
K10714,K15671
K11004,K12531
K11050,K11051
K11069,K11071
K11089,K18148|K21786
K11130,K12216
K11159,K14067
K11198,K11199|K11200|K22299
K11210,K18924|K18925|K21253|K21264|K21265
K11391,K12583
K11694,K11695
K11704,K19971
K11705,K19084|K19972|K19973
K11735,K13979
K11892,K11893|K11897|K11900|K11902|K11903
K11894,K12992
K11895,K11896|K11901|K11906
K11921,K18954
K11936,K21478
K12052,K20527|K20532|K20533
K12058,K12059|K12069|K18377
K12060,K12061|K12062|K12064|K12067|K12072
K12066,K12082|K12276|K18133|K22302
K12070,K12349
K12080,K12081|K12085|K12089|K12093|K12108|K18698|K18795|K18923|K19217
K12268,K12270
K12294,K12295|K14982
K12369,K19227
K12700,K17735|K20895|K22116
K12951,K21887
K13308,K20429
K13498,K22100
K13527,K13571|K20814
K13611,K15677
K13628,K15724
K13657,K13660
K13694,K21163
K13787,K14215
K13921,K13923
K13991,K18558
K14337,K14339
K14347,K15371
K14665,K22397
K14988,K14989
K15357,K17713|K19622
K15521,K16164|K16234|K18455|K21689|K21690|K22317|K22318|K22320
K15656,K16121|K18122|K22252
K15910,K19430
K15913,K18429|K18430
K16012,K16013
K16182,K21721
K16345,K16346
K16701,K17249
K16849,K16850
K16855,K17816
K17073,K17074
K17318,K17320
K17363,K20485
K17716,K19068
K17898,K17899|K21399
K18136,K22106
K18568,K20938
K18766,K18767|K18768
K18824,K18974
K18889,K18890
K18891,K18892
K18940,K19587
K19075,K19088|K19090
K19117,K19118|K19119
K19124,K19125|K19126
K19131,K19132|K19133
K19272,K19300
K19576,K19578
K20107,K20108
K20116,K20117|K20118
K20451,K20539
K20460,K20461
K21011,K21012
K21512,K22014
